Buildfile: /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml

init:

compile:
    [javac] /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml:87: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds
     [copy] Copying 1 file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes

run:
     [echo] Configure optionally use -DelapsedCount=xxxx -Dprotocol='thrift/binary' -Dhost=xxxx -Dport=xxxx
     [echo]             -DcalcType='throughput/latency'
     [echo]         
     [java] Shutdown hook added.
     [java] PUNCTUATION SERVER started................
     [java] Unable to determine dialect of the StAX implementation at jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/axiom_1.2.11.wso2v11.jar!/
     [java] SLF4J: Class path contains multiple SLF4J bindings.
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.13.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.21.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
     [java] Thrift Server started at localhost
     [java] Thrift SSL port : 7761
     [java] Thrift port : 7661
     [java] Test Server Started
     [java] user admin connected
     [java] Event: count : 196, avgHumidity : 5561.408163265306, timeSpent : 115
     [java] Event: count : 195, avgHumidity : 5564.917948717949, timeSpent : 115
     [java] Event: count : 194, avgHumidity : 5542.680412371134, timeSpent : 116
     [java] Event: count : 193, avgHumidity : 5552.673575129534, timeSpent : 116
     [java] Event: count : 192, avgHumidity : 5561.677083333333, timeSpent : 116
     [java] Event: count : 191, avgHumidity : 5584.680628272251, timeSpent : 116
     [java] Event: count : 190, avgHumidity : 5604.273684210526, timeSpent : 116
     [java] Event: count : 189, avgHumidity : 5603.137566137566, timeSpent : 116
     [java] Event: count : 188, avgHumidity : 5596.015957446809, timeSpent : 117
     [java] Event: count : 187, avgHumidity : 5584.35294117647, timeSpent : 117
     [java] Event: count : 186, avgHumidity : 5593.736559139785, timeSpent : 117
     [java] Event: count : 185, avgHumidity : 5587.643243243243, timeSpent : 117
     [java] Event: count : 184, avgHumidity : 5581.445652173913, timeSpent : 117
     [java] Event: count : 183, avgHumidity : 5587.207650273224, timeSpent : 117
     [java] Event: count : 182, avgHumidity : 5571.417582417583, timeSpent : 118
     [java] Event: count : 181, avgHumidity : 5562.883977900552, timeSpent : 118
     [java] Event: count : 179, avgHumidity : 5558.368715083799, timeSpent : 118
     [java] Event: count : 180, avgHumidity : 5567.072222222222, timeSpent : 119
     [java] Event: count : 178, avgHumidity : 5558.162921348315, timeSpent : 119
     [java] Event: count : 177, avgHumidity : 5534.920903954802, timeSpent : 119
     [java] Event: count : 176, avgHumidity : 5516.454545454545, timeSpent : 120
     [java] Event: count : 175, avgHumidity : 5534.5257142857145, timeSpent : 120
     [java] Event: count : 204, avgHumidity : 5512.328431372549, timeSpent : 120
     [java] Event: count : 205, avgHumidity : 5513.453658536585, timeSpent : 120
     [java] Event: count : 206, avgHumidity : 5502.834951456311, timeSpent : 121
     [java] Event: count : 174, avgHumidity : 5555.16091954023, timeSpent : 122
     [java] Event: count : 172, avgHumidity : 5562.7558139534885, timeSpent : 122
     [java] Event: count : 173, avgHumidity : 5545.439306358381, timeSpent : 122
     [java] Event: count : 171, avgHumidity : 5568.567251461988, timeSpent : 123
     [java] Event: count : 170, avgHumidity : 5581.923529411764, timeSpent : 123
     [java] Event: count : 168, avgHumidity : 5576.285714285715, timeSpent : 123
     [java] Event: count : 167, avgHumidity : 5577.802395209581, timeSpent : 123
     [java] Event: count : 166, avgHumidity : 5562.319277108434, timeSpent : 123
     [java] Event: count : 165, avgHumidity : 5538.963636363636, timeSpent : 123
     [java] Event: count : 203, avgHumidity : 5502.4187192118225, timeSpent : 124
     [java] Event: count : 202, avgHumidity : 5499.252475247525, timeSpent : 124
     [java] Event: count : 201, avgHumidity : 5526.55223880597, timeSpent : 124
     [java] Event: count : 207, avgHumidity : 5517.84541062802, timeSpent : 124
     [java] Event: count : 200, avgHumidity : 5530.085, timeSpent : 124
     [java] Event: count : 199, avgHumidity : 5540.537688442211, timeSpent : 124
     [java] Event: count : 208, avgHumidity : 5491.961538461538, timeSpent : 125
     [java] Event: count : 209, avgHumidity : 5470.755980861244, timeSpent : 125
     [java] Event: count : 210, avgHumidity : 5480.338095238095, timeSpent : 127
     [java] Event: count : 213, avgHumidity : 5469.1220657277, timeSpent : 127
     [java] Event: count : 212, avgHumidity : 5471.8490566037735, timeSpent : 127
     [java] Event: count : 211, avgHumidity : 5476.436018957346, timeSpent : 127
     [java] Event: count : 216, avgHumidity : 5492.2962962962965, timeSpent : 127
     [java] Event: count : 215, avgHumidity : 5483.33023255814, timeSpent : 127
     [java] Event: count : 214, avgHumidity : 5480.892523364486, timeSpent : 127
     [java] Event: count : 218, avgHumidity : 5488.98623853211, timeSpent : 128
     [java] Event: count : 219, avgHumidity : 5490.593607305936, timeSpent : 128
     [java] Event: count : 217, avgHumidity : 5488.8663594470045, timeSpent : 128
     [java] Event: count : 222, avgHumidity : 5495.914414414415, timeSpent : 128
     [java] Event: count : 221, avgHumidity : 5478.986425339366, timeSpent : 129
     [java] Event: count : 220, avgHumidity : 5485.263636363637, timeSpent : 129
     [java] Event: count : 223, avgHumidity : 5485.533632286995, timeSpent : 129
     [java] Event: count : 228, avgHumidity : 5468.956140350877, timeSpent : 130
     [java] Event: count : 227, avgHumidity : 5489.3964757709255, timeSpent : 131
     [java] Event: count : 226, avgHumidity : 5482.08407079646, timeSpent : 135
     [java] Event: count : 270, avgHumidity : 5473.544444444445, timeSpent : 135
     [java] Event: count : 225, avgHumidity : 5467.906666666667, timeSpent : 135
     [java] Event: count : 224, avgHumidity : 5490.8125, timeSpent : 135
     [java] Event: count : 271, avgHumidity : 5470.749077490775, timeSpent : 136
     [java] Event: count : 269, avgHumidity : 5493.401486988848, timeSpent : 136
     [java] Event: count : 268, avgHumidity : 5480.641791044776, timeSpent : 136
     [java] Event: count : 267, avgHumidity : 5483.558052434457, timeSpent : 136
     [java] Event: count : 266, avgHumidity : 5469.868421052632, timeSpent : 136
     [java] Event: count : 265, avgHumidity : 5486.679245283019, timeSpent : 136
     [java] Event: count : 264, avgHumidity : 5474.117424242424, timeSpent : 136
