Buildfile: /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml

init:

compile:
    [javac] /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml:87: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds
    [javac] Compiling 1 source file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes
     [copy] Copying 1 file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes

run:
     [echo] Configure optionally use -DelapsedCount=xxxx -Dprotocol='thrift/binary' -Dhost=xxxx -Dport=xxxx
     [echo]             -DcalcType='throughput/latency'
     [echo]         
     [java] Shutdown hook added.
     [java] PUNCTUATION SERVER started................
     [java] Unable to determine dialect of the StAX implementation at jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/axiom_1.2.11.wso2v11.jar!/
     [java] SLF4J: Class path contains multiple SLF4J bindings.
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.13.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.21.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
     [java] Thrift Server started at localhost
     [java] Thrift SSL port : 7761
     [java] Thrift port : 7661
     [java] Test Server Started
     [java] user admin connected
     [java] Event: count : 21101, maxHumidity : 999845, timeSpent : 24696
     [java] Event: count : 21201, maxHumidity : 999845, timeSpent : 24815
     [java] Event: count : 21301, maxHumidity : 999845, timeSpent : 24932
     [java] Event: count : 21401, maxHumidity : 999845, timeSpent : 25049
     [java] Event: count : 21501, maxHumidity : 999845, timeSpent : 25167
     [java] Event: count : 21601, maxHumidity : 999845, timeSpent : 25284
     [java] Event: count : 21701, maxHumidity : 999845, timeSpent : 25401
     [java] Event: count : 21801, maxHumidity : 999845, timeSpent : 25517
     [java] Event: count : 21901, maxHumidity : 999886, timeSpent : 25634
     [java] Event: count : 22001, maxHumidity : 999886, timeSpent : 25750
     [java] Event: count : 22101, maxHumidity : 999886, timeSpent : 25867
     [java] Event: count : 22201, maxHumidity : 999886, timeSpent : 25985
     [java] Event: count : 22301, maxHumidity : 999886, timeSpent : 26100
     [java] Event: count : 22401, maxHumidity : 999886, timeSpent : 26218
     [java] Event: count : 22501, maxHumidity : 999886, timeSpent : 26335
     [java] Event: count : 22601, maxHumidity : 999886, timeSpent : 26452
     [java] Event: count : 22701, maxHumidity : 999886, timeSpent : 26569
     [java] Event: count : 22801, maxHumidity : 999886, timeSpent : 26684
     [java] Event: count : 22901, maxHumidity : 999886, timeSpent : 26801
     [java] Event: count : 23001, maxHumidity : 999886, timeSpent : 26918
     [java] Event: count : 23101, maxHumidity : 999886, timeSpent : 27036
     [java] Event: count : 23201, maxHumidity : 999886, timeSpent : 27138
     [java] Event: count : 23301, maxHumidity : 999886, timeSpent : 27253
     [java] Event: count : 23401, maxHumidity : 999886, timeSpent : 27364
     [java] Event: count : 23501, maxHumidity : 999886, timeSpent : 27473
     [java] Event: count : 23601, maxHumidity : 999886, timeSpent : 27581
     [java] Event: count : 23701, maxHumidity : 999886, timeSpent : 27690
     [java] Event: count : 23801, maxHumidity : 999886, timeSpent : 27798
     [java] Event: count : 23901, maxHumidity : 999886, timeSpent : 27909
     [java] Event: count : 24001, maxHumidity : 999886, timeSpent : 28018
