Buildfile: /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml

init:

compile:
    [javac] /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml:87: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds
     [copy] Copying 1 file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes

run:
     [echo] Configure optionally use -DelapsedCount=xxxx -Dprotocol='thrift/binary' -Dhost=xxxx -Dport=xxxx
     [echo]             -DcalcType='throughput/latency'
     [echo]         
     [java] Shutdown hook added.
     [java] PUNCTUATION SERVER started................
     [java] Unable to determine dialect of the StAX implementation at jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/axiom_1.2.11.wso2v11.jar!/
     [java] SLF4J: Class path contains multiple SLF4J bindings.
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.13.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.21.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
     [java] Thrift Server started at localhost
     [java] Thrift SSL port : 7761
     [java] Thrift port : 7661
     [java] Test Server Started
     [java] user admin connected
     [java] Event: count : 414, maxHumidity : 999782, timeSpent : 278
     [java] Event: count : 413, maxHumidity : 999782, timeSpent : 278
     [java] Event: count : 412, maxHumidity : 999782, timeSpent : 279
     [java] Event: count : 411, maxHumidity : 999782, timeSpent : 279
     [java] Event: count : 410, maxHumidity : 999782, timeSpent : 279
     [java] Event: count : 409, maxHumidity : 999782, timeSpent : 279
     [java] Event: count : 407, maxHumidity : 999782, timeSpent : 279
     [java] Event: count : 408, maxHumidity : 999782, timeSpent : 279
     [java] Event: count : 406, maxHumidity : 999782, timeSpent : 280
     [java] Event: count : 405, maxHumidity : 999782, timeSpent : 280
     [java] Event: count : 404, maxHumidity : 999782, timeSpent : 280
     [java] Event: count : 403, maxHumidity : 999782, timeSpent : 280
     [java] Event: count : 400, maxHumidity : 999782, timeSpent : 280
     [java] Event: count : 399, maxHumidity : 999782, timeSpent : 280
     [java] Event: count : 398, maxHumidity : 999782, timeSpent : 280
     [java] Event: count : 397, maxHumidity : 999782, timeSpent : 281
     [java] Event: count : 396, maxHumidity : 999782, timeSpent : 281
     [java] Event: count : 395, maxHumidity : 999782, timeSpent : 281
     [java] Event: count : 394, maxHumidity : 999782, timeSpent : 281
     [java] Event: count : 393, maxHumidity : 999782, timeSpent : 281
     [java] Event: count : 392, maxHumidity : 999782, timeSpent : 281
     [java] Event: count : 391, maxHumidity : 999782, timeSpent : 281
     [java] Event: count : 389, maxHumidity : 999782, timeSpent : 282
     [java] Event: count : 390, maxHumidity : 999782, timeSpent : 282
     [java] Event: count : 388, maxHumidity : 999782, timeSpent : 282
     [java] Event: count : 387, maxHumidity : 999782, timeSpent : 282
     [java] Event: count : 386, maxHumidity : 999782, timeSpent : 282
     [java] Event: count : 385, maxHumidity : 999782, timeSpent : 282
     [java] Event: count : 383, maxHumidity : 999782, timeSpent : 282
     [java] Event: count : 382, maxHumidity : 999782, timeSpent : 283
     [java] Event: count : 381, maxHumidity : 999782, timeSpent : 283
     [java] Event: count : 380, maxHumidity : 999782, timeSpent : 283
     [java] Event: count : 379, maxHumidity : 999782, timeSpent : 283
     [java] Event: count : 378, maxHumidity : 999782, timeSpent : 283
     [java] Event: count : 377, maxHumidity : 999782, timeSpent : 283
     [java] Event: count : 376, maxHumidity : 999782, timeSpent : 283
     [java] Event: count : 375, maxHumidity : 999782, timeSpent : 284
     [java] Event: count : 374, maxHumidity : 999782, timeSpent : 284
     [java] Event: count : 373, maxHumidity : 999782, timeSpent : 284
     [java] Event: count : 372, maxHumidity : 999782, timeSpent : 284
     [java] Event: count : 371, maxHumidity : 999782, timeSpent : 284
     [java] Event: count : 370, maxHumidity : 999782, timeSpent : 284
     [java] Event: count : 368, maxHumidity : 999782, timeSpent : 284
     [java] Event: count : 367, maxHumidity : 999782, timeSpent : 284
     [java] Event: count : 365, maxHumidity : 999782, timeSpent : 285
     [java] Event: count : 364, maxHumidity : 999782, timeSpent : 285
     [java] Event: count : 362, maxHumidity : 999782, timeSpent : 285
     [java] Event: count : 360, maxHumidity : 999782, timeSpent : 285
     [java] Event: count : 361, maxHumidity : 999782, timeSpent : 285
     [java] Event: count : 359, maxHumidity : 999782, timeSpent : 285
     [java] Event: count : 358, maxHumidity : 999782, timeSpent : 285
     [java] Event: count : 357, maxHumidity : 999782, timeSpent : 285
     [java] Event: count : 356, maxHumidity : 999782, timeSpent : 286
     [java] Event: count : 355, maxHumidity : 999782, timeSpent : 286
     [java] Event: count : 354, maxHumidity : 999782, timeSpent : 286
     [java] Event: count : 353, maxHumidity : 999782, timeSpent : 286
     [java] Event: count : 352, maxHumidity : 999782, timeSpent : 286
     [java] Event: count : 351, maxHumidity : 999782, timeSpent : 286
     [java] Event: count : 350, maxHumidity : 999782, timeSpent : 286
     [java] Event: count : 349, maxHumidity : 999782, timeSpent : 286
     [java] Event: count : 348, maxHumidity : 999782, timeSpent : 286
     [java] Event: count : 347, maxHumidity : 999782, timeSpent : 287
     [java] Event: count : 346, maxHumidity : 999782, timeSpent : 287
     [java] Event: count : 345, maxHumidity : 999782, timeSpent : 287
     [java] Event: count : 344, maxHumidity : 999782, timeSpent : 287
     [java] Event: count : 343, maxHumidity : 999782, timeSpent : 287
     [java] Event: count : 342, maxHumidity : 999782, timeSpent : 287
