Buildfile: /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml

init:

compile:
    [javac] /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml:87: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds
     [copy] Copying 1 file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes

run:
     [echo] Configure optionally use -DelapsedCount=xxxx -Dprotocol='thrift/binary' -Dhost=xxxx -Dport=xxxx
     [echo]             -DcalcType='throughput/latency'
     [echo]         
     [java] Shutdown hook added.
     [java] PUNCTUATION SERVER started................
     [java] Unable to determine dialect of the StAX implementation at jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/axiom_1.2.11.wso2v11.jar!/
     [java] SLF4J: Class path contains multiple SLF4J bindings.
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.13.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.21.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
     [java] Thrift Server started at localhost
     [java] Thrift SSL port : 7761
     [java] Thrift port : 7661
     [java] Test Server Started
     [java] user admin connected
     [java] Event: humidity : 177, avgHumidity : 5481.7683615819205, timeSpent : 135
     [java] Event: humidity : 176, avgHumidity : 5468.210227272727, timeSpent : 135
     [java] Event: humidity : 175, avgHumidity : 5449.571428571428, timeSpent : 135
     [java] Event: humidity : 174, avgHumidity : 5437.425287356322, timeSpent : 135
     [java] Event: humidity : 173, avgHumidity : 5442.387283236994, timeSpent : 135
     [java] Event: humidity : 172, avgHumidity : 5468.732558139535, timeSpent : 136
     [java] Event: humidity : 171, avgHumidity : 5487.228070175439, timeSpent : 136
     [java] Event: humidity : 169, avgHumidity : 5497.307692307692, timeSpent : 136
     [java] Event: humidity : 186, avgHumidity : 5531.274193548387, timeSpent : 137
     [java] Event: humidity : 188, avgHumidity : 5555.452127659574, timeSpent : 138
     [java] Event: humidity : 189, avgHumidity : 5551.084656084656, timeSpent : 139
     [java] Event: humidity : 190, avgHumidity : 5569.784210526316, timeSpent : 139
     [java] Event: humidity : 187, avgHumidity : 5535.2513368983955, timeSpent : 140
     [java] Event: humidity : 192, avgHumidity : 5594.807291666667, timeSpent : 142
     [java] Event: humidity : 194, avgHumidity : 5554.819587628866, timeSpent : 142
     [java] Event: humidity : 193, avgHumidity : 5568.647668393783, timeSpent : 143
     [java] Event: humidity : 191, avgHumidity : 5585.492146596858, timeSpent : 143
     [java] Event: humidity : 195, avgHumidity : 5574.4, timeSpent : 143
     [java] Event: humidity : 196, avgHumidity : 5591.688775510204, timeSpent : 143
     [java] Event: humidity : 197, avgHumidity : 5602.604060913705, timeSpent : 143
     [java] Event: humidity : 199, avgHumidity : 5565.020100502513, timeSpent : 144
     [java] Event: humidity : 214, avgHumidity : 5572.892523364486, timeSpent : 146
     [java] Event: humidity : 213, avgHumidity : 5568.99530516432, timeSpent : 146
     [java] Event: humidity : 212, avgHumidity : 5559.037735849057, timeSpent : 146
     [java] Event: humidity : 211, avgHumidity : 5538.800947867298, timeSpent : 146
     [java] Event: humidity : 210, avgHumidity : 5555.390476190476, timeSpent : 146
