event count, avg, time spent
851,500525.3759367537, 93905
852,500497.5836594165, 94012
853,500493.0015258037, 94122
854,500450.00728010223, 94232
855,500521.7121462278, 94334
856,500551.10758938495, 94439
857,500466.07001086435, 94542
858,500497.2381769174, 94655
859,500496.86087574734, 94759
860,500523.1980768559, 94867
861,500467.1708235951, 94977
862,500465.8920918456, 95083
863,500470.9348035406, 95186
864,500454.9003835413, 95288
865,500441.10142243723, 95398
866,500442.5491497208, 95508
867,500439.7901063498, 95615
868,500435.55813658435, 95719
869,500478.0098155551, 95828
870,500487.4693616874, 95935
871,500496.62161354464, 96049
872,500497.9110457974, 96157
873,500545.5045469662, 96268
874,500490.8717425917, 96377
875,500457.60954680154, 96482
876,500429.4921886607, 96588
877,500384.3097110764, 96695
878,500400.8967286576, 96796
879,500376.45000626415, 96903
880,500381.5412793939, 97010
881,500323.6036181407, 97114
882,500271.4170667756, 97221
883,500374.26487228036, 97331
884,500355.2224097122, 97435
885,500396.6715648013, 97544
886,500416.5877221726, 97653
887,500389.6046884347, 97759
888,500437.20893789246, 97866
889,500419.5582256957, 97971
890,500437.93695234024, 98075
891,500460.9853372434, 98185
892,500477.88981043984, 98281
893,500480.604085156, 98391
894,500511.0011086102, 98496
895,500513.06729231216, 98595
896,500480.13892582204, 98698
897,500464.62887690985, 98805
898,500478.5107635366, 98913
899,500474.7941893743, 99019
900,500466.87122501415, 99125
901,500470.74611393205, 99233
902,500440.6330562369, 99349
903,500429.4943182448, 99456
904,500452.89920377405, 99565
905,500403.4814769748, 99679
906,500441.67300913803, 99783
907,500430.8693833401, 99886
908,500476.38624711963, 99992
909,500488.7844517131, 100094
910,500502.1517585065, 100205
911,500497.252777442, 100311
912,500548.5759212303, 100418
913,500545.2594160152, 100529
914,500582.09987842414, 100640
915,500629.8416319296, 100742
916,500645.21996480913, 100854
917,500712.0627613236, 100960
918,500684.85066684114, 101061
919,500694.05855056044, 101171
920,500664.1746662169, 101277
921,500629.53673329635, 101381
922,500686.87128261366, 101488
923,500706.1684797345, 101601
924,500685.7563948386, 101700
925,500718.19988961157, 101806
926,500715.17588999035, 101906
927,500677.7659528515, 102015
928,500693.4480426317, 102120
929,500733.58693333046, 102224
930,500791.93268102605, 102335
931,500767.7987118418, 102441
932,500741.00692795997, 102546
933,500757.1565219257, 102655
934,500800.06814503594, 102764
935,500807.0231475038, 102862
936,500777.80949936365, 102970
937,500760.87205264904, 103077
938,500783.9126476772, 103180
939,500800.3964776495, 103291
940,500821.2053652251, 103405
941,500792.2603802087, 103507
942,500812.2868301081, 103612
943,500784.0125688687, 103718
944,500806.166106404, 103824
945,500790.7897903624, 103927
946,500814.3845250315, 104030
947,500856.6930687836, 104141
948,500870.23267969716, 104244
949,500886.08241474244, 104352
950,500886.75795829337, 104458
951,500843.390416943, 104566
952,500873.5528017581, 104673
953,500861.47792565206, 104779
954,500849.8333700591, 104886
955,500868.6600979025, 104990
956,500924.4288646192, 105091
957,500937.9929603247, 105195
958,500914.57097626984, 105302
959,500923.6694919677, 105407
960,500902.5992221145, 105514
961,500907.62580598117, 105619
962,500867.0523927951, 105725
963,500880.7210320059, 105838
964,500877.12475467543, 105944
965,500922.0008921069, 106052
966,500899.49480316264, 106155
967,500928.80537468556, 106266
968,500954.8302292634, 106372
969,500995.47484013595, 106476
970,500983.3246302928, 106589
971,500976.9814641086, 106696
972,501008.6744008816, 106799
973,501000.3112930937, 106908
974,501005.06066741346, 107016
975,501023.2680773298, 107124
976,501016.4773694629, 107234
977,500965.10532678966, 107340
978,500962.236609656, 107447
979,500951.4026645944, 107553
980,500929.4370741872, 107661
981,500923.9743982204, 107798
982,500940.019714376, 107912
983,500952.53742833575, 108013
984,500968.618803471, 108124
985,500962.9378664851, 108228
986,500976.65686642774, 108338
987,500984.6440401213, 108447
988,501029.9810741533, 108558
