Buildfile: /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml

init:

compile:
    [javac] /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml:87: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds
    [javac] Compiling 1 source file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes
     [copy] Copying 1 file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes

run:
     [echo] Configure optionally use -DelapsedCount=xxxx -Dprotocol='thrift/binary' -Dhost=xxxx -Dport=xxxx
     [echo]             -DcalcType='throughput/latency'
     [echo]         
     [java] Shutdown hook added.
     [java] PUNCTUATION SERVER started................
     [java] Unable to determine dialect of the StAX implementation at jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/axiom_1.2.11.wso2v11.jar!/
     [java] SLF4J: Class path contains multiple SLF4J bindings.
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.13.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.21.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
     [java] Thrift Server started at localhost
     [java] Thrift SSL port : 7761
     [java] Thrift port : 7661
     [java] Test Server Started
     [java] user admin connected
     [java] Event: count : 188, maxHumidity : 987150, timeSpent : 20593
     [java] Event: count : 189, maxHumidity : 987150, timeSpent : 20711
     [java] Event: count : 190, maxHumidity : 987150, timeSpent : 20823
     [java] Event: count : 191, maxHumidity : 987150, timeSpent : 20933
     [java] Event: count : 192, maxHumidity : 987150, timeSpent : 21045
     [java] Event: count : 193, maxHumidity : 987150, timeSpent : 21157
     [java] Event: count : 194, maxHumidity : 987150, timeSpent : 21270
     [java] Event: count : 195, maxHumidity : 987150, timeSpent : 21380
     [java] Event: count : 196, maxHumidity : 987150, timeSpent : 21497
     [java] Event: count : 197, maxHumidity : 987150, timeSpent : 21604
     [java] Event: count : 198, maxHumidity : 987150, timeSpent : 21721
     [java] Event: count : 199, maxHumidity : 987150, timeSpent : 21830
     [java] Event: count : 200, maxHumidity : 987150, timeSpent : 21941
     [java] Event: count : 201, maxHumidity : 987150, timeSpent : 22053
     [java] Event: count : 202, maxHumidity : 987150, timeSpent : 22163
     [java] Event: count : 203, maxHumidity : 987150, timeSpent : 22274
     [java] Event: count : 204, maxHumidity : 987150, timeSpent : 22385
     [java] Event: count : 205, maxHumidity : 987150, timeSpent : 22497
     [java] Event: count : 206, maxHumidity : 987150, timeSpent : 22609
     [java] Event: count : 207, maxHumidity : 987150, timeSpent : 22721
     [java] Event: count : 208, maxHumidity : 987150, timeSpent : 22831
     [java] Event: count : 209, maxHumidity : 987150, timeSpent : 22943
     [java] Event: count : 210, maxHumidity : 987150, timeSpent : 23054
     [java] Event: count : 211, maxHumidity : 987150, timeSpent : 23165
     [java] Event: count : 212, maxHumidity : 987150, timeSpent : 23276
